7	9	258
9	9	470
12	9	686
15	9	713
16	9	930
19	9	1131
23	9	1342
24	9	1398
27	9	1591
28.9	9	1808
32.9	9	2001
34.9	9	2087
36.9	9	2237
37.9	9	2463
39.9	9	2667
41.9	9	2772
43.9	9	2914
43.9	10	3116
44.9	9	3335
51.9	9	3461
52.9	9	3568
54.9	9	3791
56.9	11	3978
50.9	9	4147
62.9	10	4254
59.9	9	4447
70.8	9	4666
65.9	9	4819
60.9	9	4871
67.9	10	5105
68.9	9	5321
68.9	9	5527
70.9	9	5583
72.9	11	5768
74.9	9	5940
77.8	9	6175
85.8	9	6239
77.8	9	6424
80.8	9	6650
85.8	9	6864
96.8	9	6900
92.8	11	7108
81.9	9	7407
102.8	9	7520
85.8	9	7615
92.8	9	7794
89.8	9	7959
89.8	9	8216
87.8	11	8282
98.8	9	8456
97.8	9	8632
101.8	9	8802
93.8	9	8939
105.8	9	9094
95.8	11	9368
104.8	9	9497
106.8	9	9694
100.8	9	9767
108.8	9	10042
107.8	9	10261
95.8	9	10360
100.8	9	10366
102.8	9	10733
105.7	9	10897
108.8	9	11047
113.7	9	11079
126.7	9	11291
108.8	9	11542
122.7	9	11742
119.8	9	11723
113.8	9	12023
113.7	9	12121
119.7	11	12462
111.7	11	12396
112.7	9	12550
113.7	10	12844
122.7	9	13105
111.8	9	13082
116.7	9	13483
121.7	9	13458
119.8	11	13843
123.7	9	13915
124.7	9	13964
112.8	9	14308
131.7	9	14432
119.8	9	14567
128.7	9	14584
124.8	11	14968
122.7	10	14576
111.8	9	15148
118.8	9	15334
129.7	10	15463
133.7	11	15723
117.7	9	15846
135.7	9	16168
128.7	9	16268
134.7	9	16410
133.7	10	16439
135.7	9	16685
114.8	9	16912
127.7	7	17346
143.6	9	17337
145.7	9	17376
148.6	9	17697
136.7	9	17699
142.6	9	17541
138.7	9	17816
120.7	11	16810
137.7	8	18618
128.7	10	18710
122.7	7	18562
133.7	9	18215
135.7	9	18960
127.7	9	19326
126.7	9	19188
129.7	9	19477
126.6	9	19793
122.7	9	19225
171.6	9	20346
132.7	11	19985
123.7	9	20389
142.7	10	19401
146.6	9	21176
143.7	9	21026
151.6	9	21046
118.7	9	21288
118.7	9	21393
133.7	9	21117
131.7	9	21285
132.7	9	21939
129.7	15	14902
129.7	9	22040
153.7	3	21769
126.7	11	22671
131.3	9	22827
136.7	11	22897
120.7	9	21640
128.7	10	23029
129.7	9	22201
147.6	11	22734
117.7	9	23315
150.6	9	22280
123.7	9	22402
123.7	10	22170
126.7	10	23425
142.6	5	22108
125.7	10	22601
128.7	9	24446
139.7	10	20469
143.6	9	19393
132.5	15	24544
137.7	11	24928
133.3	9	25469
144.6	9	23528
146.6	12	23518
145.6	9	21531
131.7	5	22507
146.6	10	22838
133.7	11	23138
135.6	10	23049
139.6	8	22751
138.6	9	22245
130.7	11	22634
136.7	12	22566
135.7	8	22696
139.7	12	21705
131.7	9	21810
138.3	13	24835
145.6	11	24890
144.7	5	25309
160.5	10	25066
169.4	10	22736
159.3	13	24172
169.6	9	23596
160.6	13	24199
170.6	12	24359
165.5	8	24161
174.5	11	23151
163.5	7	24138
170.5	15	24510
172.6	4	24144
173.2	13	24267
163.5	14	22818
178.4	8	24252
173.6	7	22148
169.5	12	24447
172.5	12	21444
160.5	6	23752
158.5	13	24041
162.5	15	24394
164.5	16	22375
153.6	4	23828
158.6	7	20255
155.5	9	25501
164.5	11	22452
151.6	10	21602
157.6	17	22733
157.6	14	21115
168.5	13	24885
154.6	11	22999
163.6	8	24588
169.5	10	24439
178.5	10	24226
159.5	9	24120
163.4	21	24962
165.5	13	24078
179.5	9	24442
166.5	11	23980
172.5	15	25146
169.6	16	24767
174.2	16	25287
164.6	13	25212
165.5	14	24964
175.1	9	25166
180.5	10	25149
168.5	5	25160
169.5	4	24655
178.4	9	25444
178.5	10	25417
178.5	16	25009
172.5	11	24714
176.5	16	25261
179.3	7	22585
180.5	20	24505
173.6	12	24915
178.5	7	25331
186.5	19	25178
181.4	11	24271
181.5	21	23828
