100	603	610
8	610	583
7	611	613
9	608	611
6	613	617
8	606	613
7	687	608
7	620	609
9	621	695
8	607	584
6	715	576
9	607	762
8	680	507
8	549	747
10	1040	816
9	710	729
11	1009	760
12	733	811
7	836	962
11	1043	1099
8	1013	1153
8	1205	771
10	1136	1130
7	1088	994
5	895	957
6	1228	1043
12	1412	1201
6	968	849
7	1219	1070
8	909	839
8	1051	1079
6	700	438
7	874	1323
12	1256	824
7	1185	999
10	801	772
6	937	1155
7	1034	832
7	1279	1436
10	1059	765
7	1171	1104
8	767	612
6	1148	1068
8	1260	873
4	871	887
8	637	992
5	622	730
6	607	716
5	778	657
5	702	902
6	1072	746
5	889	836
4	736	888
4	724	685
4	627	691
6	481	738
6	529	703
5	659	411
5	743	531
5	697	523
5	824	579
5	457	319
4	805	757
2	811	540
5	728	933
6	697	518
8	1024	436
6	708	545
4	308	395
3	467	373
3	192	330
2	187	188
2	281	464
3	309	612
2	208	330
