100	20	19
1	20	19
0	19	19
1	20	23
0	20	20
0	20	20
0	20	20
0	20	20
0	20	20
0	20	20
0	20	20
0	24	20
0	20	20
1	20	20
0	20	20
0	20	20
0	20	20
0	20	20
0	20	20
0	20	20
0	20	20
0	20	20
0	20	20
0	23	20
0	20	20
1	20	20
0	20	20
0	24	20
0	20	20
0	20	20
0	20	20
0	22	20
0	20	20
1	20	20
0	20	20
0	24	20
0	20	20
1	20	20
0	20	20
1	21	20
0	20	20
1	20	20
0	20	20
1	21	20
0	20	20
1	20	20
0	20	20
1	20	20
0	20	22
1	20	20
0	20	20
0	20	20
0	20	22
0	20	20
1	20	20
0	20	20
1	21	20
0	20	20
1	20	20
0	20	20
1	21	20
0	20	20
0	20	20
0	20	20
0	20	20
0	20	20
0	20	20
0	21	20
0	20	20
0	20	20
0	20	20
0	20	20
0	19	20
0	20	22
1	20	20
0	20	20
0	20	20
0	20	22
0	20	20
0	20	20
0	20	20
0	23	20
0	20	20
0	20	20
1	20	20
0	21	20
1	20	20
0	20	20
1	20	20
0	23	20
0	20	21
1	20	20
0	20	20
0	20	20
0	20	20
0	20	20
0	20	20
1	20	18
0	20	20
0	20	20
0	19	21
0	20	22
2	20	20
0	19	22
0	20	20
0	20	24
0	20	20
0	17	21
0	28	20
0	23	22
0	20	21
0	20	20
0	20	20
1	20	20
0	20	23
0	20	20
0	21	23
0	24	20
0	20	20
0	15	18
0	20	20
0	20	22
0	20	20
0	20	20
0	19	22
0	20	19
0	20	22
1	19	22
0	15	26
1	19	22
0	20	12
1	21	29
0	22	21
0	23	18
1	20	20
0	20	16
0	21	20
0	20	22
0	20	20
1	15	24
0	24	18
0	19	20
0	19	22
1	20	20
0	24	13
0	20	20
0	24	23
0	18	25
0	20	18
0	17	17
1	17	27
0	21	16
1	18	24
0	18	25
0	13	22
0	25	21
1	21	22
0	26	20
1	19	20
0	23	24
0	21	25
0	19	16
2	21	19
0	19	20
1	34	23
0	14	23
1	23	26
0	22	24
0	30	25
0	21	17
0	24	19
0	33	21
0	24	14
1	18	30
0	37	25
1	25	14
0	25	10
1	24	27
0	15	26
1	24	13
0	13	27
1	13	9
0	18	28
1	20	12
0	22	15
0	12	15
1	27	24
0	35	21
0	21	27
1	24	18
0	21	15
0	11	45
0	23	30
0	14	12
0	14	23
1	20	29
0	12	31
1	17	17
0	11	24
0	16	46
1	22	19
0	18	21
0	17	24
1	21	20
0	20	3
0	29	5
0	23	27
1	19	15
0	35	18
1	38	20
0	28	16
0	33	25
0	22	10
0	24	19
0	20	25
1	18	34
0	15	19
0	7	40
0	18	21
0	22	23
0	32	20
0	29	27
1	27	25
0	11	22
0	29	36
0	22	8
0	15	11
0	37	25
0	4	23
0	66	28
