4	957	10
4	1691	18
5	2167	18
5	2509	26
4	3146	29
5	3863	44
5	4338	44
6	4652	60
4	5666	36
5	5844	10
5	6598	18
6	6679	18
3	7670	36
5	8125	36
5	8698	37
5	9679	48
4	9701	0
6	10887	37
5	10722	18
3	13088	37
2	11760	93
4	12300	37
4	13117	68
5	13036	18
4	13388	0
4	16346	44
5	15334	18
6	15363	37
4	15437	37
3	14768	37
5	16937	37
5	17245	37
4	16588	37
5	18135	29
3	15351	0
2	16987	18
3	18954	37
5	18461	0
5	22145	45
4	19581	0
4	20289	298
2	19908	46
4	13361	252
3	17086	0
2	23238	0
3	24731	3
4	18395	0
4	18572	0
3	24571	26
4	24018	106
3	22091	0
5	18759	0
4	17552	37
2	26568	10
4	24042	37
6	24411	21
3	23998	18
4	26276	0
3	25217	70
5	22446	0
3	23577	0
4	25212	0
3	24656	0
3	18064	0
4	21932	38
2	26856	0
3	26322	164
2	24950	0
5	22282	10
4	19982	0
3	24020	0
3	27057	0
3	16675	2
3	24524	0
3	26162	0
0	0	0
