4	209	8
5	425	13
5	634	16
4	695	15
4	878	9
6	1075	7
4	1300	9
4	1401	17
4	1536	14
5	1755	14
4	1965	8
4	2090	11
4	2197	12
5	2410	12
5	2626	11
5	2765	16
5	2866	12
4	3063	9
5	3286	10
6	3472	14
5	3544	13
6	3732	14
6	3940	8
3	4152	8
6	4211	11
5	4390	15
6	4597	13
5	4829	11
5	4853	10
5	5053	8
5	5265	12
6	5485	12
4	5521	13
7	5706	10
5	5923	9
5	6142	8
6	6220	14
5	6373	17
6	6567	13
6	6865	12
6	6914	12
4	7039	13
4	7227	15
7	7462	14
4	7591	13
5	7734	10
5	7893	10
6	8194	15
5	8325	16
5	8388	16
6	8594	10
7	8876	9
6	9066	12
7	9073	14
5	9257	14
5	9481	9
6	9693	10
6	9773	9
5	9965	17
6	10146	13
5	10334	14
8	10361	10
6	10650	8
5	10808	13
6	11115	16
4	11020	16
4	11256	9
8	11378	12
5	11663	9
3	11685	13
5	11918	15
5	12110	18
5	12473	9
4	12434	10
5	12829	13
5	12710	16
6	13026	14
6	13138	12
5	13294	9
6	13599	12
5	13628	13
4	13843	12
6	13940	12
6	14203	9
7	14240	9
3	14480	10
5	14653	18
3	14781	18
4	15364	12
3	15138	9
7	15223	11
6	15550	16
6	15760	11
7	15924	11
5	15910	11
4	16000	10
6	16319	12
6	16580	15
5	16619	16
6	16877	12
8	16418	12
6	17150	14
4	17196	10
5	17705	15
8	17682	15
6	17732	11
4	17654	9
6	16348	10
7	18000	13
6	18494	16
7	18129	18
4	18592	11
7	19052	13
5	19080	9
5	19584	11
5	19455	16
3	19318	15
6	19890	9
5	19545	10
5	20155	17
6	20626	13
5	20554	15
5	19872	12
6	20412	8
5	20932	10
4	21510	14
7	21428	12
4	21486	11
5	21662	10
6	21941	11
6	19824	9
5	21733	14
5	21091	13
7	23192	19
7	22986	14
3	22714	8
6	23211	13
6	23117	14
4	23759	14
5	23429	7
5	23120	8
4	23241	9
6	22955	18
6	22866	17
7	20191	12
5	22485	11
5	22597	7
4	22876	15
4	21891	15
4	19861	16
4	24271	15
6	24838	11
5	24880	9
5	23718	12
7	23165	18
6	22254	18
7	22413	14
4	22120	15
9	22841	16
6	22723	16
5	22592	18
5	22655	14
6	22729	10
5	23318	12
3	22661	15
7	22780	18
4	22702	10
5	24720	14
5	25038	16
4	24370	14
3	23703	23
6	24497	16
5	24250	13
5	24380	14
5	25357	12
4	24406	18
5	21177	19
5	24243	14
6	24041	12
5	23019	10
5	24203	10
5	23044	15
6	24019	15
6	21942	15
7	23562	14
4	20421	14
5	24266	26
7	23295	15
7	23623	14
5	24060	10
6	23908	7
4	21867	22
4	24593	10
3	25406	12
5	22340	14
4	19725	16
7	24025	10
6	23197	13
5	25304	17
5	24992	12
3	25199	12
3	24557	14
7	25180	14
4	24487	12
4	24838	12
4	25195	16
5	23723	12
3	24580	14
5	23777	12
4	25444	13
6	25337	20
6	24089	9
6	25048	11
4	24518	19
5	25312	23
4	24672	14
5	24739	19
6	24773	12
3	25209	12
3	25468	18
4	24694	18
4	25703	16
2	25004	15
6	24695	20
5	25450	15
4	25757	7
6	25133	15
5	25095	14
4	22112	14
