15	10300	422
26	19002	440
20.9	29188	415
26	31704	421
19	40049	415
20	44216	408
12.9	47782	499
20	51031	427
23	50963	371
15	58223	383
14	36280	615
14	27492	849
19	45134	493
9	46078	840
7	56709	455
9	19677	539
11	11022	448
20	30146	624
12	33904	640
10	45961	584
19	48863	1110
13	35489	595
9	46133	591
11	49400	869
15	60143	799
14	30709	491
21	51254	469
12	47631	584
7	53260	392
8.9	26896	377
10	28007	0
18	41234	0
7	31464	0
20.9	38567	419
10	24915	595
10	35947	397
9	53084	691
9	46488	499
18	40831	748
16	28374	771
19	55647	476
9	28699	616
15.9	41667	323
10	36204	522
6	46923	418
9	34795	708
11.9	43561	691
7	38690	475
10	43915	486
8	30594	243
8	56252	690
10	59292	364
16	51635	562
16	34807	357
8	42822	403
7	40215	525
16	48629	677
10	39560	424
12	43098	327
10	57965	347
7	56271	214
7	55868	297
8	56223	309
